PCL_ID,ROAD,JUNCTION,POI_DENSIT,POP_DENSIT,MIXTURE,AMENITIES,ACCESSIBIL,A_TRANSPOR,A_AMENETIE,GDP,TERTIARY,INCOME,CITY_LEVEL,BUS,EDU,GOV,CVS,DCENTER,DSUBC,DRAIL,DTRAN,DGREEN,DMALL,DHOSPITAL,Y_DP_COMME,Y_LN_DP_CO,Y_HOUSINGP,Y_WEIBO,E_NAME,CITYID
129089,7253.97,39,32,8515,1.55367,3.5,22.003,12.676,25.734,11465.0,40.55,23456.4,2,6,3.0,0,5.0,3.606,90.449,24.352,1.0,33.615,0.0,1.0,11,2.398,0.0,108,Suzhou,254
129315,5387.61,13,36,8484,1.4674,5.75,22.236,14.931,25.157,11465.0,40.55,23456.4,2,18,4.0,1,0.0,2.236,91.088,28.862,1.0,30.463,2.0,0.0,1,0.0,0.0,50,Suzhou,254
129316,8259.02,32,48,8515,1.57754,7.25,21.961,14.653,24.884,11465.0,40.55,23456.4,2,22,6.0,1,0.0,1.414,91.137,27.893,1.414,30.871,1.0,0.0,2,0.693,0.0,54,Suzhou,254
129317,14875.4,112,389,8515,1.84,21.5,21.775,14.463,24.701,11465.0,40.55,23456.4,2,41,15.0,22,8.0,1.0,91.198,26.926,2.0,31.305,0.0,0.0,43,3.761,0.0,153,Suzhou,254
129318,19283.0,163,477,8515,1.72359,35.0,21.63,13.481,24.89,11465.0,40.55,23456.4,2,113,12.0,9,6.0,1.414,91.269,25.962,1.0,31.765,0.0,0.0,354,5.869,0.0,400,Suzhou,254
129319,14084.3,93,194,8515,1.767,19.75,21.548,12.5,25.167,11465.0,40.55,23456.4,2,44,11.0,9,15.0,2.236,91.351,25.0,0.0,32.249,0.0,0.0,239,5.476,0.0,411,Suzhou,254
129320,10880.6,64,106,8515,1.62027,11.0,21.915,12.521,25.673,11465.0,40.55,23456.4,2,24,10.0,3,7.0,3.162,91.444,24.042,1.0,32.757,1.0,0.0,25,3.219,0.0,81,Suzhou,254
129321,9184.06,48,118,5856,1.91518,7.25,22.208,12.543,26.074,11465.0,40.55,23456.4,2,10,6.0,3,10.0,4.123,91.548,23.087,2.0,33.287,1.414,0.0,12,2.485,0.0,112,Suzhou,254
129545,9380.09,43,30,8515,1.26337,4.5,22.467,15.318,25.327,11465.0,40.55,23456.4,2,8,3.0,7,0.0,2.0,92.087,28.636,2.0,29.547,2.0,1.0,1,0.0,0.0,43,Suzhou,254
129546,10794.9,55,80,8515,1.68545,7.25,22.142,14.947,25.02,11465.0,40.55,23456.4,2,12,6.0,10,1.0,1.0,92.136,27.659,2.236,29.967,1.0,1.0,12,2.485,0.0,73,Suzhou,254
142294,4615.42,27,11,895,0.693809,3.75,4.402,1.0,5.763,78047.0,75.51,66458.7,5,8,1.0,6,0.0,23.345,2.236,1.0,1.0,0.0,2.236,1.0,185,5.22,21037.0,5,Beijing,1
